utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,sadl.started,smlyl.started,smlyl.stopped,text_2.started,sadl.stopped,text_2.stopped,key_resp.rt,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Roll Number,Name,date,expName,psychopyVersion,frameRate,
23,0,23,0,,,,,,,,,,,,,,,,,80.99842469999567,80.99842469999567,80.99842469999567,80.99842469999567,80.99842469999567,q,0.0894873000215739,81.09381140000187,81.09381140000187,81.49829300004058,81.49829300004058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
24,0,24,0,,,,,,,,,,,,,,,,,81.49829300004058,81.49829300004058,81.49829300004058,81.49829300004058,81.49829300004058,q,0.31190579989925027,81.81698779994622,81.81698779994622,82.22021570010111,82.22021570010111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
25,0,25,0,,,,,,,,,,,,,,,,,82.22021570010111,82.22021570010111,82.22021570010111,82.22021570010111,82.22021570010111,p,0.2804842998739332,82.51084030000493,82.51084030000493,82.91426420002244,82.91426420002244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
26,0,26,0,,,,,,,,,,,,,,,,,82.91426420002244,82.91426420002244,82.91426420002244,82.91426420002244,82.91426420002244,p,0.24181149993091822,83.16279360000044,83.16279360000044,83.56735290004872,83.56735290004872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
27,0,27,0,,,,,,,,,,,,,,,,,83.56735290004872,83.56735290004872,83.56735290004872,83.56735290004872,83.56735290004872,p,0.23670189990662038,83.81575000006706,83.81575000006706,84.21985520003363,84.21985520003363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
28,0,28,0,,,,,,,,,,,,,,,,,84.21985520003363,84.21985520003363,84.21985520003363,84.21985520003363,84.21985520003363,p,0.2685901999939233,84.49681339995004,84.49681339995004,84.901061499957,84.901061499957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
29,0,29,0,,,,,,,,,,,,,,,,,84.901061499957,84.901061499957,84.901061499957,84.901061499957,84.901061499957,p,0.28481000009924173,85.19755170005374,85.19755170005374,85.60239319992252,85.60239319992252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
30,0,30,0,,,,,,,,,,,,,,,,,85.60239319992252,85.60239319992252,85.60239319992252,85.60239319992252,85.60239319992252,p,0.3267200000118464,85.94029020005837,85.94029020005837,86.34553149994463,86.34553149994463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
31,0,31,0,,,,,,,,,,,,,,,,,86.34553149994463,86.34553149994463,86.34553149994463,86.34553149994463,86.34553149994463,p,0.30045170010998845,86.65589140006341,86.65589140006341,87.0601500000339,87.0601500000339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
32,0,32,0,,,,,,,,,,,,,,,,,87.0601500000339,87.0601500000339,87.0601500000339,87.0601500000339,87.0601500000339,p,0.32535589998587966,87.39235400012694,87.39235400012694,87.79657389991917,87.79657389991917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
33,0,33,0,,,,,,,,,,,,,,,,,87.79657389991917,87.79657389991917,87.79657389991917,87.79657389991917,87.79657389991917,p,0.2290745999198407,88.03269249992445,88.03269249992445,88.43586189998314,88.43586189998314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
34,0,34,0,,,,,,,,,,,,,,,,,88.43586189998314,88.43586189998314,88.43586189998314,88.43586189998314,88.43586189998314,p,0.20544179994612932,88.64976079994813,88.64976079994813,89.05300289997831,89.05300289997831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
35,0,35,0,,,,,,,,,,,,,,,,,89.05300289997831,89.05300289997831,89.05300289997831,89.05300289997831,89.05300289997831,p,0.24348880001343787,89.30265940004028,89.30265940004028,89.70593960001133,89.70593960001133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
36,0,36,0,,,,,,,,,,,,,,,,,89.70593960001133,89.70593960001133,89.70593960001133,89.70593960001133,89.70593960001133,p,0.23770519997924566,89.95457920012996,89.95457920012996,90.35887579992414,90.35887579992414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
37,0,37,0,,,,,,,,,,,,,,,,,90.35887579992414,90.35887579992414,90.35887579992414,90.35887579992414,90.35887579992414,q,0.1870204999577254,90.55308090010658,90.55308090010658,90.95603960007429,90.95603960007429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
38,0,38,0,,,,,,,,,,,,,,,,,90.95603960007429,90.95603960007429,90.95603960007429,90.95603960007429,90.95603960007429,p,0.24233960011042655,91.20500610000454,91.20500610000454,91.60883600008674,91.60883600008674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
39,0,39,0,,,,,,,,,,,,,,,,,91.60883600008674,91.60883600008674,91.60883600008674,91.60883600008674,91.60883600008674,p,0.21547069982625544,91.83036029990762,91.83036029990762,92.2318219000008,92.2318219000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2318219000008,92.2318219000008,space,1.4127951001282781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,93.66162670007907,93.66162670007907,93.66162670007907,93.66162670007907,93.66162670007907,93.66162670007907,93.66162670007907,93.66162670007907,93.66162670007907,94.66343099996448,94.66343099996448,94.66343099996448,94.66343099996448,94.66343099996448,94.66343099996448,94.66343099996448,94.66343099996448,94.66343099996448,None,94.66343099996448,94.66343099996448,94.66343099996448,94.66343099996448,95.06738750007935,95.06738750007935,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,95.06738750007935,95.06738750007935,95.06738750007935,95.06738750007935,95.06738750007935,95.06738750007935,95.06738750007935,95.06738750007935,95.06738750007935,,,,,,,,,,q,95.39478820003569,95.39478820003569,95.79665519995615,95.39478820003569,95.39478820003569,95.79665519995615,0.31734269997105,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,95.79665519995615,95.79665519995615,95.79665519995615,95.79665519995615,95.79665519995615,95.79665519995615,95.79665519995615,95.79665519995615,95.79665519995615,,,,,,,,,,p,96.04622590006329,96.04622590006329,96.44948579999618,96.04622590006329,96.04622590006329,96.44948579999618,0.23721730010583997,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,96.44948579999618,96.44948579999618,96.44948579999618,96.44948579999618,96.44948579999618,96.44948579999618,96.44948579999618,96.44948579999618,96.44948579999618,,,,,,,,,,p,96.76772859995253,96.76772859995253,97.17168710008264,96.76772859995253,96.76772859995253,97.17168710008264,0.30770729994401336,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,97.17168710008264,97.17168710008264,97.17168710008264,97.17168710008264,97.17168710008264,97.17168710008264,97.17168710008264,97.17168710008264,97.17168710008264,,,,,,,,,,p,97.71901100012474,97.71901100012474,98.12270810012706,97.71901100012474,97.71901100012474,98.12270810012706,0.5354019999504089,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,98.12270810012706,98.12270810012706,98.12270810012706,98.12270810012706,98.12270810012706,98.12270810012706,98.12270810012706,98.12270810012706,98.12270810012706,,,,,,,,,,p,98.44891620008275,98.44891620008275,98.85193790006451,98.44891620008275,98.44891620008275,98.85193790006451,0.3143910998478532,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,98.85193790006451,98.85193790006451,98.85193790006451,98.85193790006451,98.85193790006451,98.85193790006451,98.85193790006451,98.85193790006451,98.85193790006451,,,,,,,,,,q,99.17665000003763,99.17665000003763,99.58097260002978,99.17665000003763,99.17665000003763,99.58097260002978,0.2950012998189777,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,99.58097260002978,99.58097260002978,99.58097260002978,99.58097260002978,99.58097260002978,99.58097260002978,99.58097260002978,99.58097260002978,99.58097260002978,,,,,,,,,,p,99.719203799963,99.719203799963,100.1225610000547,99.719203799963,99.719203799963,100.1225610000547,0.12619660003110766,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,100.1225610000547,100.1225610000547,100.1225610000547,100.1225610000547,100.1225610000547,100.1225610000547,100.1225610000547,100.1225610000547,100.1225610000547,,,,,,,,,,p,100.40051009994932,100.40051009994932,100.80334089999087,100.40051009994932,100.40051009994932,100.80334089999087,0.2668038001284003,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,100.80334089999087,100.80334089999087,100.80334089999087,100.80334089999087,100.80334089999087,100.80334089999087,100.80334089999087,100.80334089999087,100.80334089999087,,,,,,,,,,p,101.05264570005238,101.05264570005238,101.45586530002765,101.05264570005238,101.05264570005238,101.45586530002765,0.24125339998863637,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,101.45586530002765,101.45586530002765,101.45586530002765,101.45586530002765,101.45586530002765,101.45586530002765,101.45586530002765,101.45586530002765,101.45586530002765,,,,,,,,,,w,101.69872569991276,101.69872569991276,102.1016844001133,101.69872569991276,101.69872569991276,102.1016844001133,0.23592859995551407,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,102.1016844001133,102.1016844001133,102.1016844001133,102.1016844001133,102.1016844001133,102.1016844001133,102.1016844001133,102.1016844001133,102.1016844001133,103.09955130005255,103.09955130005255,103.09955130005255,103.09955130005255,103.09955130005255,103.09955130005255,103.09955130005255,103.09955130005255,103.09955130005255,None,103.09955130005255,103.09955130005255,103.09955130005255,103.09955130005255,103.50474190013483,103.50474190013483,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,103.50474190013483,103.50474190013483,103.50474190013483,103.50474190013483,103.50474190013483,103.50474190013483,103.50474190013483,103.50474190013483,103.50474190013483,,,,,,,,,,p,103.76181680010632,103.76181680010632,104.16423130012117,103.76181680010632,103.76181680010632,104.16423130012117,0.2448479998856783,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,104.16423130012117,104.16423130012117,104.16423130012117,104.16423130012117,104.16423130012117,104.16423130012117,104.16423130012117,104.16423130012117,104.16423130012117,,,,,,,,,,p,104.35862200008705,104.35862200008705,104.76148089999333,104.35862200008705,104.35862200008705,104.76148089999333,0.18631720007397234,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,104.76148089999333,104.76148089999333,104.76148089999333,104.76148089999333,104.76148089999333,104.76148089999333,104.76148089999333,104.76148089999333,104.76148089999333,,,,,,,,,,q,104.98157360008918,104.98157360008918,105.38671440002508,104.98157360008918,104.98157360008918,105.38671440002508,0.21319980011321604,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,105.38671440002508,105.38671440002508,105.38671440002508,105.38671440002508,105.38671440002508,105.38671440002508,105.38671440002508,105.38671440002508,105.38671440002508,,,,,,,,,,p,105.55506219994277,105.55506219994277,105.96288800006732,105.55506219994277,105.55506219994277,105.96288800006732,0.1601585999596864,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,105.96288800006732,105.96288800006732,105.96288800006732,105.96288800006732,105.96288800006732,105.96288800006732,105.96288800006732,105.96288800006732,105.96288800006732,,,,,,,,,,q,106.11525160004385,106.11525160004385,106.51881860010326,106.11525160004385,106.11525160004385,106.51881860010326,0.14104650006629527,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,106.51881860010326,106.51881860010326,106.51881860010326,106.51881860010326,106.51881860010326,106.51881860010326,106.51881860010326,106.51881860010326,106.51881860010326,,,,,,,,,,p,106.6360317999497,106.6360317999497,107.03925070003606,106.6360317999497,106.6360317999497,107.03925070003606,0.10609530005604029,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,107.03925070003606,107.03925070003606,107.03925070003606,107.03925070003606,107.03925070003606,107.03925070003606,107.03925070003606,107.03925070003606,107.03925070003606,,,,,,,,,,q,107.21311479993165,107.21311479993165,107.61628270009533,107.21311479993165,107.21311479993165,107.61628270009533,0.1665270000230521,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,107.61628270009533,107.61628270009533,107.61628270009533,107.61628270009533,107.61628270009533,107.61628270009533,107.61628270009533,107.61628270009533,107.61628270009533,,,,,,,,,,p,107.80269220005721,107.80269220005721,108.20580550003797,107.80269220005721,107.80269220005721,108.20580550003797,0.17375579988583922,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
