utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,Roll Number,Name,date,expName,psychopyVersion,frameRate,
63,0,63,0,,,,,,,,,62.72483540000394,62.72483540000394,62.72483540000394,62.72483540000394,62.72483540000394,q,0.18676119999145158,62.95428860001266,62.95428860001266,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
64,0,64,0,,,,,,,,,63.35692009999184,63.35692009999184,63.35692009999184,63.35692009999184,63.35692009999184,q,0.22596969999722205,63.60472289999598,63.60472289999598,64.00615000000107,64.00615000000107,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
65,0,65,0,,,,,,,,,64.00615000000107,64.00615000000107,64.00615000000107,64.00615000000107,64.00615000000107,q,0.16424670000560582,64.18823239998892,64.18823239998892,64.58907210000325,64.58907210000325,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
66,0,66,0,,,,,,,,,64.58907210000325,64.58907210000325,64.58907210000325,64.58907210000325,64.58907210000325,q,0.19805669999914244,64.80544689999078,64.80544689999078,65.20696280000266,65.20696280000266,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
67,0,67,0,,,,,,,,,65.20696280000266,65.20696280000266,65.20696280000266,65.20696280000266,65.20696280000266,q,0.049240299995290115,65.2719761999906,65.2719761999906,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
68,0,68,0,,,,,,,,,65.68993399999454,65.68993399999454,65.68993399999454,65.68993399999454,65.68993399999454,q,0.04884139998466708,65.76992520000204,65.76992520000204,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
69,0,69,0,,,,,,,,,66.17173050000565,66.17173050000565,66.17173050000565,66.17173050000565,66.17173050000565,q,0.1358331000083126,66.33706419999362,66.33706419999362,66.73809890000848,66.73809890000848,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
70,0,70,0,,,,,,,,,66.73809890000848,66.73809890000848,66.73809890000848,66.73809890000848,66.73809890000848,q,0.1250655000039842,66.88649579999037,66.88649579999037,67.2887100999942,67.2887100999942,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
71,0,71,0,,,,,,,,,67.2887100999942,67.2887100999942,67.2887100999942,67.2887100999942,67.2887100999942,q,0.2360286999901291,67.55297600000631,67.55297600000631,67.95411630001036,67.95411630001036,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
72,0,72,0,,,,,,,,,67.95411630001036,67.95411630001036,67.95411630001036,67.95411630001036,67.95411630001036,q,0.6494714000145905,68.6189638999931,68.6189638999931,69.02158349999809,69.02158349999809,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
73,0,73,0,,,,,,,,,69.02158349999809,69.02158349999809,69.02158349999809,69.02158349999809,69.02158349999809,q,3.412478000012925,72.45195779998903,72.45195779998903,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
74,0,74,0,,,,,,,,,72.86889969999902,72.86889969999902,72.86889969999902,72.86889969999902,72.86889969999902,q,0.03317429998423904,72.91692119999789,72.91692119999789,73.31781300000148,73.31781300000148,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
75,0,75,0,,,,,,,,,73.31781300000148,73.31781300000148,73.31781300000148,73.31781300000148,73.31781300000148,q,0.23818819998996332,73.58331429999089,73.58331429999089,73.9857680000132,73.9857680000132,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
76,0,76,0,,,,,,,,,73.9857680000132,73.9857680000132,73.9857680000132,73.9857680000132,73.9857680000132,q,0.19652319999295287,74.19991150000715,74.19991150000715,74.60125259999768,74.60125259999768,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
77,0,77,0,,,,,,,,,74.60125259999768,74.60125259999768,74.60125259999768,74.60125259999768,74.60125259999768,q,0.14294160000281408,74.76593019999564,74.76593019999564,75.1667477999872,75.1667477999872,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
78,0,78,0,,,,,,,,,75.1667477999872,75.1667477999872,75.1667477999872,75.1667477999872,75.1667477999872,q,0.017284700006712228,75.1990048000007,75.1990048000007,75.60054330001003,75.60054330001003,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
79,0,79,0,,,,,,,,,75.60054330001003,75.60054330001003,75.60054330001003,75.60054330001003,75.60054330001003,q,0.20937759999651462,75.83236120000947,75.83236120000947,76.23282870001276,76.23282870001276,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
80,0,80,0,,,,,,,,,76.23282870001276,76.23282870001276,76.23282870001276,76.23282870001276,76.23282870001276,q,0.28938210001797415,76.5483513000072,76.5483513000072,76.94979720000993,76.94979720000993,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
81,0,81,0,,,,,,,,,76.94979720000993,76.94979720000993,76.94979720000993,76.94979720000993,76.94979720000993,q,0.2593629000184592,77.23142719999305,77.23142719999305,77.63294569999562,77.63294569999562,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
82,0,82,0,,,,,,,,,77.63294569999562,77.63294569999562,77.63294569999562,77.63294569999562,77.63294569999562,q,0.24989549999008887,77.91335300001083,77.91335300001083,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
83,0,83,0,,,,,,,,,78.315649199998,78.315649199998,78.315649199998,78.315649199998,78.315649199998,q,0.1583855000208132,78.49725949999993,78.49725949999993,78.89903840000625,78.89903840000625,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
84,0,84,0,,,,,,,,,78.89903840000625,78.89903840000625,78.89903840000625,78.89903840000625,78.89903840000625,q,0.17568590000155382,79.11266189999878,79.11266189999878,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
