utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,,,,,,,,54.90130829997361,54.90130829997361,54.90130829997361,54.90130829997361,54.90130829997361,w,0.15945939999073744,55.0671580999624,55.0671580999624,55.470898899948224,55.470898899948224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
28,0,28,0,,,,,,,,,,,,,,,,,55.470898899948224,55.470898899948224,55.470898899948224,55.470898899948224,55.470898899948224,w,0.2466599999461323,55.72658829996362,55.72658829996362,56.130270099965855,56.130270099965855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
29,0,29,0,,,,,,,,,,,,,,,,,56.130270099965855,56.130270099965855,56.130270099965855,56.130270099965855,56.130270099965855,w,0.2190243999939412,56.35906539997086,56.35906539997086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
30,0,30,0,,,,,,,,,,,,,,,,,56.763210700126365,56.763210700126365,56.763210700126365,56.763210700126365,56.763210700126365,w,0.21097339992411435,56.983433600049466,56.983433600049466,57.387386000016704,57.387386000016704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
31,0,31,0,,,,,,,,,,,,,,,,,57.387386000016704,57.387386000016704,57.387386000016704,57.387386000016704,57.387386000016704,o,0.22346449992619455,57.62221059994772,57.62221059994772,58.02639609994367,58.02639609994367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
32,0,32,0,,,,,,,,,,,,,,,,,58.02639609994367,58.02639609994367,58.02639609994367,58.02639609994367,58.02639609994367,o,0.20767930010333657,58.24086580006406,58.24086580006406,58.644184600096196,58.644184600096196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
33,0,33,0,,,,,,,,,,,,,,,,,58.644184600096196,58.644184600096196,58.644184600096196,58.644184600096196,58.644184600096196,p,0.2839364998508245,58.93376570008695,58.93376570008695,59.339102199999616,59.339102199999616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
34,0,34,0,,,,,,,,,,,,,,,,,59.339102199999616,59.339102199999616,59.339102199999616,59.339102199999616,59.339102199999616,p,0.17820530012249947,59.52507600001991,59.52507600001991,59.929215600015596,59.929215600015596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
35,0,35,0,,,,,,,,,,,,,,,,,59.929215600015596,59.929215600015596,59.929215600015596,59.929215600015596,59.929215600015596,p,0.1733296001330018,60.108909599948674,60.108909599948674,60.5122225000523,60.5122225000523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
36,0,36,0,,,,,,,,,,,,,,,,,60.5122225000523,60.5122225000523,60.5122225000523,60.5122225000523,60.5122225000523,p,0.19472249993123114,60.71299439994618,60.71299439994618,61.116614300059155,61.116614300059155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
37,0,37,0,,,,,,,,,,,,,,,,,61.116614300059155,61.116614300059155,61.116614300059155,61.116614300059155,61.116614300059155,q,0.1995312999933958,61.324068299960345,61.324068299960345,61.72791730007157,61.72791730007157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
38,0,38,0,,,,,,,,,,,,,,,,,61.72791730007157,61.72791730007157,61.72791730007157,61.72791730007157,61.72791730007157,q,0.22013300005346537,61.95524420007132,61.95524420007132,62.3597776000388,62.3597776000388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
