newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text_2.stopped,text_7.stopped,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
42,0,42,0,0,0,0,0,,,,,,,,,77.49725189991295,77.49725189991295,space,1.1546229999512434,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
42,0,42,0,,,,,,,,,,,,,,,,,78.68354419991374,78.68354419991374,78.68354419991374,78.68354419991374,78.68354419991374,q,0.3919969000853598,79.09714709990658,79.11394820013084,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
43,0,43,0,,,,,,,,,,,,,,,,,79.51632870011963,79.51632870011963,79.51632870011963,79.51632870011963,79.51632870011963,q,0.13931440003216267,79.68051599990577,79.6972046000883,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
44,0,44,0,,,,,,,,,,,,,,,,,80.09978129994124,80.09978129994124,80.09978129994124,80.09978129994124,80.09978129994124,q,0.23935829987749457,80.3642210001126,80.38068479998037,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
45,0,45,0,,,,,,,,,,,,,,,,,80.78382060001604,80.78382060001604,80.78382060001604,80.78382060001604,80.78382060001604,q,0.19823009986430407,80.99714120011777,81.01373609993607,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
46,0,46,0,,,,,,,,,,,,,,,,,81.41621130006388,81.41621130006388,81.41621130006388,81.41621130006388,81.41621130006388,q,0.19300370011478662,81.63059050007723,81.64697790006176,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
47,0,47,0,,,,,,,,,,,,,,,,,82.04983690008521,82.04983690008521,82.04983690008521,82.04983690008521,82.04983690008521,q,0.15469060000032187,82.23051519994624,82.24739190004766,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
48,0,48,0,,,,,,,,,,,,,,,,,82.64978040009737,82.64978040009737,82.64978040009737,82.64978040009737,82.64978040009737,q,0.19762699981220067,82.86367739993148,82.8804383999668,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
49,0,49,0,,,,,,,,,,,,,,,,,83.28280619997531,83.28280619997531,83.28280619997531,83.28280619997531,83.28280619997531,q,0.17638870002701879,83.48068140004762,83.49767270009033,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
50,0,50,0,,,,,,,,,,,,,,,,,83.89958059997298,83.89958059997298,83.89958059997298,83.89958059997298,83.89958059997298,q,0.21797419991344213,84.14689299999736,84.16368829994462,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
51,0,51,0,,,,,,,,,,,,,,,,,84.56601330009289,84.56601330009289,84.56601330009289,84.56601330009289,84.56601330009289,q,0.16648449981585145,84.74727210006677,84.76362320012413,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
52,0,52,0,,,,,,,,,,,,,,,,,85.1658600999508,85.1658600999508,85.1658600999508,85.1658600999508,85.1658600999508,o,0.13569140015169978,85.33029760001227,85.34693909995258,,,,,,,,,85.34693909995258,85.74977320013568,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
53,0,53,0,,,,,,,,,,,,,,,,,85.74977320013568,85.74977320013568,85.74977320013568,85.74977320013568,85.74977320013568,p,0.1784345000050962,85.9470563000068,85.96366999996826,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
